Nigéria	Peter Odemwingie	Stoke City	Inglaterra
Nigéria	Ramon Azeez	Almeria	Espanha
Nigéria	Reuben Gabriel	Waasland Bev.	Bélgica
Nigéria	Shola Ameobi	Newcastle Utd	Inglaterra
Nigéria	Uche Nwofor	Heerenveen	Holanda
Nigéria	Victor Moses	Liverpool	Inglaterra
Nigéria	Vincent Enyeama	Lille	França
Irã	Ahmad Alenemeh	Naft	Irã
Irã	Alireza Haghighi	Sporting Covilla	Portugal
Irã	Alireza Jahanbakhsh	NEC Nijmegen	Holanda
Irã	Amir Hossein Sadeghi	Esteghial	Irã
Irã	Andranik Teymourian	Esteghial	Irã
Irã	Ashkan Dejagah	Fullham	Inglaterra
Irã	Bakhtiar Rahmani	Foolad Khuzestan	Irã
Irã	Daniel Davari	Eintracht Brauns.	Alemanha
Irã	Ehsan Hajsafi	Sepahan Isfahan	Irã
Irã	Ghasem Hadadifar	Zob Ahan Isfahan	Irã
Irã	Hashem Beikzadeh	Esteghial	Irã
Irã	Hossein Mahini	Persepolis	Irã
Irã	Jalal Hosseini	Persepolis	Irã
Irã	Javad Nekounam	Kuwait SC	Kuwait
Irã	Khosro Heydaria	Esteghial	Irã
Irã	Karim Ansarifard	Tractor Sazi Tabriz	Irã
Irã	Masoud Shojaei	UD Las Palmas	Espanha
Irã	Mehrdadi Pooladi	Persepolis	Irã
Irã	Pejman Montazeri	Umm Salal	Qatar
Irã	Rahman Ahmadi	Sepahan Isfahan	Irã
Irã	Reza Ghoochannejhad	Charlton	Inglaterra
Irã	Reza Haghighi	Persepolis	Irã
Irã	Steven Beitashour	Vancouver W.	Canadá
Camarões	Itandje	Konyaspor	Turquia
Camarões	Assou-Ekotto	QPR	Inglaterra
Camarões	Chedhjou	Galatasaray	Turquia
Camarões	N'Koulou	Ol. de Marseille	França
Camarões	M'Bia	Sevilla	Espanha
Camarões	Makoun	Rennes	França
Camarões	Song	Barcelona	Espanha
Camarões	Enoh	Antalyaspor	Turquia
Camarões	Eto'o	Chelsea	Inglaterra
Camarões	Webó	Fenerbahce	Turquia
Camarões	Moukandjo	Nancy	França
Camarões	Choupo-Moting	Mainz	Alemanha
Camarões	Nounkeu	Besiktas	Turquia
Camarões	N'Guemo	Bordeaux	França
Camarões	Olinga	Zulte Waregem	Bélgica
Camarões	Bedimo	Lyon	França
Camarões	Matip	Schalke 04	Alemanha
Camarões	Feudjou Loic	Coton Sport	Camarões
Camarões	Ndjock	Fethiyespor	Turquia
Camarões	Aboubakar	Lorient	França
Camarões	Nounkeu Dany	Galatasaray	Turquia
Camarões	Cedric Djeugoue	Coton Sport	Camarões
Camarões	Edgar Salli	Lens	França
Espanha	Casillas	Real Madrid	Espanha
Espanha	Azpilicuelta	Chelsea	Inglaterra
Espanha	Busquets	Barcelona	Espanha
Espanha	David Silva	Man. City	Inglaterra
Espanha	David Villa	Atl. de Madrid	Estados Unidos
Espanha	De Gea	Manchester Utd.	Inglaterra
Espanha	Diego Costa	Atl. de Madrid	Espanha
Espanha	Fábregas	Chelsea	Inglaterra
Espanha	Fernando Torres	Chelsea	Inglaterra
Espanha	Iniesta	Barcelona	Espanha
Espanha	Javi Martinez	Bayern	Alemanha
Espanha	Jordi Alba	Barcelona	Espanha
Espanha	Juan Mata	Manchester Utd.	Inglaterra
Espanha	Juanfran Torres	Atl. de Madrid	Espanha
Espanha	Koke	Atl. de Madrid	Espanha
Espanha	Pedro Rodriguez	Barcelona	Espanha
Espanha	Pepe Reina	Napoli	Itália
Espanha	Piqué	Barcelona	Espanha
Espanha	Raul Albiol	Napoli	Itália
Espanha	Santi Cazorla	Villareal	Espanha
Espanha	Sergio Ramos	Real Madrid	Espanha
Espanha	Xabi Alonso	Real Madrid	Espanha
Espanha	Xavi Hernandez	Barcelona	Espanha
Itália	Abate	Milan	Itália
Itália	Antonio Cassano	Parma	Itália
Itália	Aquilani 	Fiorentina	Itália
Itália	Balotelli 	Milan	Itália
Itália	Barzagli	Juventus	Itália
Itália	Bonucci	Juventus	Itália
Itália	Buffon	Juventus	Itália
Itália	Candreva	Lazio	Itália
Itália	Cerci	Torino	Itália
Itália	Chiellini	Juventus	Itália
Itália	Darmian 	Torino	Itália
Itália	De Rossi	Roma	Itália
Itália	De Sciglio	Milan	Itália
Itália	Gabriel Paletta	Parma	Itália
Itália	Immobile	Torino	Itália
Itália	Insigne	Napoli	Itália
Itália	Marchisio	Juventus	Itália
Itália	Parolo	Parma	Itália
Itália	Perin	Genoa	Itália
Itália	Pirlo	Juventus	Itália
Itália	Sirigu 	Paris SG	França
Itália	Thiago Motta	Paris SG	França
Itália	Verrati	Paris SG	França
França	Benzema	Real Madrid	Espanha
França	Stephane Ruffier	Saint Étienne	França
França	Cabaye	PSG	França
França	Debuchy	Newcastle Utd	Inglaterra
França	Digne	PSG	França
França	Evra	Manchester Utd.	Inglaterra
França	Giroud	Arsenal	Inglaterra
França	Grenier	Lyon	França
França	Griezmann	Real Sociedad	Espanha
França	Koscielny	Arsenal	Inglaterra
França	Lloris	Tottenham	Inglaterra
França	Mangala	Porto	Portugal
França	Rio Mavuba	Lille	França
França	Matuidi	PSG	França
França	Mickael Landreau	Bastia	França
França	Pogba	Juventus	Itália
França	Rémy	Newcastle Utd	Inglaterra
França	Ribery	Bayern	França
França	Sagna	Arsenal	Inglaterra
França	Sakho	Liverpool	Inglaterra
França	Sissoko	Newcastle Utd	Inglaterra
França	Valbuena	Ol. de Marseille	França
França	Varane	Real Madrid	Espanha
Holanda	Blind	Ajax	Holanda
Holanda	Cillessen	Ajax	Holanda
Holanda	Clasie	Feyenoord	Holanda
Holanda	Depay	PSV	Holanda
Holanda	Georginio Wijnaldum 	PSV	Holanda
Holanda	Huntelaar	Schalke 04	Alemanha
Holanda	Janmaat	Feyenoord	Holanda
Holanda	Jonathan de Guzman	Swansea	País de Gales
Holanda	Jermain Lens	Dinamo Kiev	Ucrânia
Holanda	Kuyt	Fenerbahce	Turquia
Holanda	Leroy Fer	Norwich	Inglaterra
Holanda	Martins Indi	Feyenoord	Holanda
Holanda	Michel Vorm 	Swansea	País de Gales
Holanda	Nigel de Jong	Milan	Itália
Holanda	Paul Verhaegh	Augsburg	Alemanha
Holanda	Robben	Bayern	Alemanha
Holanda	Schneijder	Galatasaray	Turquia
Holanda	Stefan de Vrij	Feyenoord	Holanda
Holanda	Terence Kongolo	Feyenoord	Holanda
Holanda	Tim Krul	Newcastle Utd	Inglaterra
Holanda	Van Persie	Manchester Utd.	Inglaterra
Holanda	Veltman	Ajax	Holanda
Holanda	Vlaar	Aston Villa	Inglaterra
Chile	Aránguiz	Internacional	Brasil
Chile	Beausejour	Wigan	Inglaterra
Chile	Bravo	Real Sociedad	Espanha
Chile	Carmona	Atalanta	Itália
Chile	Esteban Paredes	Colo Colo	Chile
Chile	F. Silva	Osasuna	Espanha
Chile	Fuenzalida	Colo Colo	Chile
Chile	Gustavo Canales	Unión Española	Chile
Chile	Gutiérrez	Twente	Holanda
Chile	Isla	Juventus	Itália
Chile	Jara	Nottingham Forest	Inglaterra
Chile	M. Diaz	Basel	Suíça
Chile	Medel	Cardiff City	Inglaterra
Chile	Mena	Santos	Brasil
Chile	Miiko Albornoz	Malmo	Suíça
Chile	Orellana	Celta de Vigo	Espanha
Chile	Pinilla	Cagliari	Itália
Chile	Rojas	Univ. do Chile	Chile
Chile	Sánchez	Barcelona	Espanha
Chile	Toselli	Univ. Católica	Chile
Chile	Valdívia	Palmeiras	Brasil
Chile	Vargas	Valencia	Espanha
Chile	Vidal	Juventus	Itália
Austrália	Adam Taggart	NewCastle Jets	Austrália
Austrália	Bailey Wright	Preston North End	Inglaterra
Austrália	Ben Halloran	F. Dusseldorf	Alemanha
Austrália	Bozanic	Luzem	Suíça
Austrália	Davidson	Heracles Almelo	Holanda
Austrália	Eugene Galekovic	Adelaide United	Austrália
Austrália	Franjic	Queensland Roar	Austrália
Austrália	Holland	Austria Viena	Áustria
Austrália	James Troisi	Melbourne Victory	Austrália
Austrália	Jedinak	Crystal Palace	Inglaterra
Austrália	Langerak	Borussia Dort.	Alemanha
Austrália	Leckie	FSV Frankfurt	Alemanha
Austrália	Luongo	Swindon Town	Inglaterra
Austrália	Mark Bresciano	Al Gharafa	Qatar
Austrália	McKay	Queensland Roar	Austrália
Austrália	Milligan	Melbourne Victory	Austrália
Austrália	Oar	Utrecht	Holanda
Austrália	Maty Ryan	Club Brugge	Bélgica
Austrália	Ryan McGowan	Shandong L. T.	China
Austrália	Špiranović	West. Sydney W.	Austrália
Austrália	Tim Cahill	New York RB	Estados Unidos
Austrália	Vidosic	Sion	Suíça
Austrália	Wilkinson	Jeonbuk Motors	Coréia do Sul
Colômbia	Aguilar	Toulouse	França
Colômbia	Arias	PSV	Holanda
Colômbia	Armero	West Ham	Inglaterra
Colômbia	Bacca	Sevilla	Espanha
Colômbia	Cuadrado	Fiorentina	Itália
Colômbia	Eder Álvarez Balanta	River Plate	Argentina
Colômbia	Guarín	Inter de Milão	Itália
Colômbia	Gutiérrez	River Plate	Argentina
Colômbia	Ibarbo	Cagliari	Itália
Colômbia	J. Martínez	Porto	Portugal
Colômbia	Mejía	Nac. de Medellin	Colômbia
Colômbia	Mondragon	Deportivo de Cali	Colômbia
Colômbia	Ospina	Nice	França
Colômbia	Quintero	Porto	Portugal
Colômbia	Juan Zuniga	Napoli	Itália
Colômbia	Ramírez	Monarcas Morelia	México
Colômbia	Ramos	Borussia Dort.	Alemanha
Colômbia	Rodriguez	Monaco	França
Colômbia	Carlos Valdez	San Lorenzo	Argentina
Colômbia	Sanchéz	Elche	Espanha
Colômbia	Vargas	Santa Fé	Colômbia
Colômbia	Yepes	Atalanta	Itália
Colômbia	Zapata	Milan	Itália
Alemanha	Boateng	Bayern	Alemanha
Alemanha	Christoph Kramer	Borussia Mön.	Alemanha
Alemanha	Draxler	Schalke 04	Alemanha
Alemanha	Durm	Borussia Dort.	Alemanha
Alemanha	Ginter	Freiburg	Alemanha
Alemanha	Götze	Bayern	Alemanha
Alemanha	Großkreutz	Borussia Dort.	Alemanha
Alemanha	Höwedes	Schalke 04	Alemanha
Alemanha	Hummels	Borussia Dort.	Alemanha
Alemanha	Khedira	Real Madrid	Espanha
Alemanha	Klose	Lazio	Itália
Alemanha	Kross	Bayern	Alemanha
Alemanha	Lahm	Bayern	Alemanha
Alemanha	Mertesacker	Arsenal	Alemanha
Alemanha	Müeller	Bayern	Alemanha
Alemanha	Neuer	Bayern	Alemanha
Alemanha	Ozil	Arsenal	Inglaterra
Alemanha	Podolski	Arsenal	Inglaterra
Alemanha	Reus	Borussia Dort.	Alemanha
Alemanha	Schürrle	Chelsea	Inglaterra
Alemanha	Schweinsteiger	Bayern	Alemanha
Alemanha	Weidenfeller	Borussia Dort.	Alemanha
Alemanha	Zieler	Hannover	Alemanha
Bélgica	Alderweireld	Atl. de Madrid	Espanha
Bélgica	Chadli	Tottenham	Inglaterra
Bélgica	Ciman	Stand. de Liège	Bélgica
Bélgica	Courtouis	Atl. de Madrid	Espanha
Bélgica	De Bruyne	Wolfsburgo	Alemanha
Bélgica	Steven Defour	Porto	Portugal
Bélgica	Dembelé	Tottenham	Inglaterra
Bélgica	Fellaini	Manchester Utd.	Inglaterra
Bélgica	Hazard	Chelsea	Inglaterra
Bélgica	Januzaj	Manchester Utd.	Inglaterra
Bélgica	Kompany	Man. City	Inglaterra
Bélgica	Lombaerts	Zenit	Rússia
Bélgica	Lukaku	Everton	Inglaterra
Bélgica	Mertens	Napoli	Itália
Bélgica	Mignolet	Liverpool	Inglaterra
Bélgica	Mirallas	Everton	Inglaterra
Bélgica	Divock Origi	Lille	França
Bélgica	Sammy Bossut	Zulte Waregem	Bélgica
Bélgica	Van Buyten	Bayern	Alemanha
Bélgica	Vanden Borre	Anderlecht	Bélgica
Bélgica	Thomas Vermaelen	Arsenal	Inglaterra
Bélgica	Vertonghen	Tottenham	Inglaterra
Bélgica	Witsel	Zenit	Rússia
Portugal	André Almeida	Benfica	Portugal
Portugal	Beto	Sevilla	Espanha
Portugal	Bruno Alves	Fenerbahce	Turquia
Portugal	Coentrão	Real Madrid	Espanha
Portugal	Cristiano Ronaldo	Real Madrid	Espanha
Portugal	Éder 	Sportig Braga	Portugal
Portugal	Eduardo	Braga	Portugal
Portugal	Hélder Postiga	Lazio	Itália
Portugal	Hugo Almeida	Besiktas	Turquia
Portugal	João Moutinho	Monaco	França
Portugal	João Pereira	Valencia	Espanha
Portugal	Miguel Veloso	Dynamo Kiev	Ucrânia
Portugal	Nani 	Manchester Utd.	Inglaterra
Portugal	Neto	Zenit	Rússia
Portugal	Pepe	Real Madrid	Espanha
Portugal	Rafa Silva	Sporting Braga	Portugal
Portugal	Raul Meireles	Fenerbahce	Turquia
Portugal	Ricardo Costa	Valencia	Espanha
Portugal	Ruben Amorim	Benfica	Portugal
Portugal	Rui Patrício 	Sporting	Portugal
Portugal	Silvestre Varela	Porto	Portugal
Portugal	Vieirinha	Wolfsburg	Alemanha
Portugal	William	Sporting Lisboa	Portugal
Rússia	Akinfeev	CSKA Moscou	Rússia
Rússia	Alexey Ionov	Dinamo Moscou	Rússia
Rússia	Andrei Semenov	Terek Grozni	Rússia
Rússia	Berezutski	CSKA Moscou	Rússia
Rússia	Denisov	Dinamo Moscou	Rússia
Rússia	Dzagoev	CSKA Moscou	Rússia
Rússia	Eshchenko	Anzhi Mak.	Rússia
Rússia	Georgy Shchennikov	CSKA Moscou	Rússia
Rússia	Glushakov	Spartak Moscou	Rússia
Rússia	Granat	Dinamo Moscou	Rússia
Rússia	Ignashevich	CSKA Moscou	Rússia
Rússia	Kerzhakov	Zenit	Rússia
Rússia	Kokorin	Dinamo Moscou	Rússia
Rússia	Kombarov	Spartak Moscou	Rússia
Rússia	Kozlov	Dinamo Moscou	Rússia
Rússia	Lodygin	Zenit	Rússia
Rússia	Maxim Kanunnikov	Amkar Perm	Rússia
Rússia	Ryzhikov	Rubin Kazan	Rússia
Rússia	Samedov	Lokomotiv Moscou	Rússia
Rússia	Shatov	Zenit	Rússia
Rússia	Shirokov	Krasnodar	Rússia
Rússia	Victor Gayzulin	Zenit	Rússia
Rússia	Yury Zhirkov	Dinamo Moscou	Rússia
Inglaterra	Ben Foster	West Bromwich	Inglaterra
Inglaterra	Fraser Foster	Celtic	Escócia
Inglaterra	Hart	Man. City	Inglaterra
Inglaterra	Baines	Everton	Inglaterra
Inglaterra	Cahill	Chelsea	Inglaterra
Inglaterra	Phil Jones	Manchester Utd.	Inglaterra
Inglaterra	Jagielka	Everton	Inglaterra
Inglaterra	Glen Johnson	Liverpool	Inglaterra
Inglaterra	Shaw	Southampton	Inglaterra
Inglaterra	Smalling	Manchester Utd.	Inglaterra
Inglaterra	Barkley	Everton	Inglaterra
Inglaterra	Gerrard	Liverpool	Inglaterra
Inglaterra	Henderson	Liverpool	Inglaterra
Inglaterra	Lallana	Southampton	Inglaterra
Inglaterra	Lampard	New York City	Estados Unidos
